;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
0;FIVN11;Shoppings;R$ 2,41;3180.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 65.531.708,68;R$ 6,96;35.0;;;;;56,00%;;1
1;BZLI11;Títulos e Val. Mob.;R$ 14,70;44041.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,68%;0,68%;1,14%;R$ 439.856.409,07;R$ 10,80;136.0;;;;;;;0
2;XTED11;Lajes Corporativas;R$ 6,26;165.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,10%;1,10%;-37,83%;R$ 27.172.278,20;R$ 13,83;45.0;;;;;0,00%;100,00%;1
3;ALMI11;Lajes Corporativas;R$ 877,99;66.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,27%;2,27%;-28,29%;R$ 249.878.508,15;R$ 2.247,57;39.0;;;;;64,05%;;1
4;PABY11;Híbrido;R$ 9,62;208.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;-19,84%;-19,84%;-31,62%;R$ -10.622.559,80;R$ -14,01;-69.0;;;;;;;1
5;ORPD11;Títulos e Val. Mob.;R$ 93,00;3.0;R$ 1,38;;;;;;;;;;;;R$ 43.445.940,90;R$ 149,81;62.0;;;;;;;0
6;FISC11;Lajes Corporativas;R$ 165,00;200.0;R$ 0,22;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 195.700.769,40;R$ 115,12;143.0;;;;;;;0
7;ATSA11;Shoppings;R$ 84,99;1.0;R$ 0,25;0,18%;0,59%;1,30%;2,97%;0,20%;0,22%;0,25%;0,37%;0,74%;0,92%;1,10%;R$ 157.482.761,24;R$ 89,93;95.0;;;;;21,90%;;1
8;CXTL11;Logística;R$ 350,00;31.0;R$ 0,48;0,16%;0,67%;1,29%;0,00%;0,22%;0,22%;0,00%;0,42%;-6,12%;-5,97%;-5,73%;R$ 37.634.810,74;R$ 702,18;50.0;;;;;61,00%;;3
9;HTMX11;Hotel;R$ 117,20;3941.0;R$ 0,00;0,00%;0,80%;2,20%;5,41%;0,27%;0,37%;0,45%;0,80%;-28,14%;-28,14%;-32,26%;R$ 164.192.001,82;R$ 130,62;90.0;;;;;65,00%;;23
